binf_chr_start_end	chrom	start	end	row_sum_support	passes_heatmap_filter	heatmap_cluster
chr1_960943_960944	chr1	960943	960944	2454	True	39
chr1_964347_964348	chr1	964347	964348	505	True	39
chr1_973061_973062	chr1	973061	973062	0	False	NA
chr1_1042747_1042748	chr1	1042747	1042748	978	True	39
chr1_1042930_1042931	chr1	1042930	1042931	1268	True	39
chr1_1044993_1044994	chr1	1044993	1044994	133	True	39
chr1_1086452_1086453	chr1	1086452	1086453	31	False	NA
chr1_1223516_1223517	chr1	1223516	1223517	117	True	39
chr1_1307688_1307689	chr1	1307688	1307689	4537	True	39
chr1_1315972_1315973	chr1	1315972	1315973	1483	True	39
chr1_1339812_1339813	chr1	1339812	1339813	2085	True	39
chr1_1420728_1420729	chr1	1420728	1420729	446	True	39
chr1_2137334_2137335	chr1	2137334	2137335	61	True	39
chr1_2171959_2171960	chr1	2171959	2171960	258	True	39
chr1_2185527_2185528	chr1	2185527	2185528	19	False	NA
chr1_2231989_2231990	chr1	2231989	2231990	2049	True	39
chr1_2389781_2389782	chr1	2389781	2389782	8	False	NA
chr1_2644664_2644665	chr1	2644664	2644665	0	False	NA
chr1_2786441_2786442	chr1	2786441	2786442	0	False	NA
chr1_2788831_2788832	chr1	2788831	2788832	0	False	NA
chr1_3432621_3432622	chr1	3432621	3432622	0	False	NA
chr1_3466913_3466914	chr1	3466913	3466914	257	True	39
chr1_3637962_3637963	chr1	3637962	3637963	0	False	NA
chr1_3753202_3753203	chr1	3753202	3753203	0	False	NA
chr1_3771353_3771354	chr1	3771353	3771354	0	False	NA
chr1_3781719_3781720	chr1	3781719	3781720	0	False	NA
chr1_3782171_3782172	chr1	3782171	3782172	0	False	NA
chr1_3782185_3782186	chr1	3782185	3782186	0	False	NA
chr1_3824766_3824767	chr1	3824766	3824767	242	True	39
chr1_3836437_3836438	chr1	3836437	3836438	29	False	NA
chr1_3865274_3865275	chr1	3865274	3865275	58	True	39
chr1_3869603_3869604	chr1	3869603	3869604	13	False	NA
chr1_5906728_5906729	chr1	5906728	5906729	0	False	NA
chr1_6096817_6096818	chr1	6096817	6096818	0	False	NA
chr1_6133817_6133818	chr1	6133817	6133818	0	False	NA
chr1_6244806_6244807	chr1	6244806	6244807	0	False	NA
chr1_6334193_6334194	chr1	6334193	6334194	0	False	NA
chr1_6444096_6444097	chr1	6444096	6444097	23	False	NA
chr1_6445465_6445466	chr1	6445465	6445466	77	True	39
chr1_6446379_6446380	chr1	6446379	6446380	170	True	39
chr1_6475347_6475348	chr1	6475347	6475348	102	True	39
chr1_6528500_6528501	chr1	6528500	6528501	54	True	39
chr1_6543663_6543664	chr1	6543663	6543664	109	True	39
chr1_6549721_6549722	chr1	6549721	6549722	365	True	39
chr1_6552344_6552345	chr1	6552344	6552345	0	False	NA
chr1_6572684_6572685	chr1	6572684	6572685	0	False	NA
chr1_6642030_6642031	chr1	6642030	6642031	18	False	NA
chr1_6822952_6822953	chr1	6822952	6822953	59	True	39
chr1_7794782_7794783	chr1	7794782	7794783	0	False	NA
chr1_7799732_7799733	chr1	7799732	7799733	0	False	NA
chr1_7802173_7802174	chr1	7802173	7802174	0	False	NA
chr1_7804678_7804679	chr1	7804678	7804679	8	False	NA
chr1_7836319_7836320	chr1	7836319	7836320	0	False	NA
chr1_7970275_7970276	chr1	7970275	7970276	31	False	NA
chr1_8329519_8329520	chr1	8329519	8329520	0	False	NA
chr1_8974535_8974536	chr1	8974535	8974536	0	False	NA
chr1_9019998_9019999	chr1	9019998	9019999	0	False	NA
chr1_9105481_9105482	chr1	9105481	9105482	38	False	NA
chr1_9246474_9246475	chr1	9246474	9246475	0	False	NA
chr1_9262906_9262907	chr1	9262906	9262907	64	True	39
chr1_9329777_9329778	chr1	9329777	9329778	16	False	NA
chr1_9569801_9569802	chr1	9569801	9569802	61	True	39
chr1_9723007_9723008	chr1	9723007	9723008	80	True	39
chr1_9736272_9736273	chr1	9736272	9736273	273	True	39
chr1_9740657_9740658	chr1	9740657	9740658	180	True	39
chr1_10096047_10096048	chr1	10096047	10096048	6	False	NA
chr1_10130956_10130957	chr1	10130956	10130957	29	False	NA
chr1_10144885_10144886	chr1	10144885	10144886	367	True	39
chr1_10170346_10170347	chr1	10170346	10170347	154	True	39
chr1_10258873_10258874	chr1	10258873	10258874	49	True	39
chr1_10285404_10285405	chr1	10285404	10285405	0	False	NA
chr1_10291026_10291027	chr1	10291026	10291027	365	True	39
chr1_10322603_10322604	chr1	10322603	10322604	0	False	NA
chr1_10324121_10324122	chr1	10324121	10324122	238	True	39
chr1_10336893_10336894	chr1	10336893	10336894	5	False	NA
chr1_10368003_10368004	chr1	10368003	10368004	0	False	NA
chr1_10408517_10408518	chr1	10408517	10408518	30	False	NA
chr1_10417350_10417351	chr1	10417350	10417351	814	True	39
chr1_10435217_10435218	chr1	10435217	10435218	0	False	NA
chr1_10623821_10623822	chr1	10623821	10623822	74	True	39
chr1_10953883_10953884	chr1	10953883	10953884	0	False	NA
chr1_10957193_10957194	chr1	10957193	10957194	0	False	NA
chr1_11018465_11018466	chr1	11018465	11018466	68	True	39
chr1_11020300_11020301	chr1	11020300	11020301	449	True	39
chr1_11113775_11113776	chr1	11113775	11113776	0	False	NA
chr1_11214868_11214869	chr1	11214868	11214869	5	False	NA
chr1_11709125_11709126	chr1	11709125	11709126	0	False	NA
chr1_11771195_11771196	chr1	11771195	11771196	6	False	NA
chr1_11799205_11799206	chr1	11799205	11799206	196	True	39
chr1_11817646_11817647	chr1	11817646	11817647	13	False	NA
chr1_11822933_11822934	chr1	11822933	11822934	632	True	39
